142.00,36.02,35.26,36.68,33.70,38.64,42.54,38.47,42.83,32.42,31.53
180.00,31.32,41.14,43.04,36.58,46.60,46.13,32.82,32.39,38.27,35.59
257.00,40.94,42.27,48.00,38.24,48.63,46.41,37.85,32.88,43.61,26.23
374.00,54.24,44.73,53.91,45.28,45.75,29.92,45.36,38.73,47.33,31.50
358.00,46.03,37.99,45.48,47.00,45.01,19.05,49.36,33.76,47.90,31.79
352.00,46.03,30.97,44.93,45.92,42.66,27.48,51.67,33.49,45.77,30.58
319.00,43.09,32.26,33.82,38.07,42.41,30.82,41.75,35.29,37.07,36.38
288.00,40.15,29.16,33.20,31.41,43.49,39.53,37.05,27.61,30.22,32.83
217.00,51.58,31.48,32.73,26.91,45.63,39.35,32.33,24.26,26.06,28.34
201.00,50.75,27.18,31.43,18.84,40.17,31.48,28.56,29.19,26.38,27.66
159.00,45.76,18.08,34.83,19.70,41.41,31.27,32.85,34.89,27.59,21.83
177.00,43.38,21.85,31.22,17.76,38.16,29.62,33.48,39.59,34.07,25.17
140.00,38.67,25.50,36.61,26.45,32.09,33.50,28.27,41.70,42.12,29.23
190.00,27.23,27.22,38.79,30.71,34.02,32.89,30.47,34.05,37.77,26.29
262.00,28.68,34.51,40.96,38.72,25.37,32.73,32.91,25.18,39.44,32.02
262.00,31.08,39.11,34.68,46.22,26.54,33.23,32.09,16.83,42.55,28.92
277.00,29.41,27.00,30.41,37.46,22.70,40.27,35.11,13.85,36.51,26.88
156.00,36.92,30.37,24.24,36.52,21.97,42.98,35.28,16.62,47.35,33.37
166.00,49.85,33.67,26.50,36.84,21.90,37.02,36.32,26.87,47.35,31.44
84.00,46.47,27.18,34.78,27.03,21.43,40.93,41.82,35.10,37.20,23.84
214.00,44.71,39.77,34.17,33.51,30.63,37.31,48.48,33.19,41.71,30.60
307.00,45.82,38.94,33.67,31.84,31.02,45.26,42.62,33.94,21.85,37.16
370.00,38.41,33.84,31.12,28.14,35.72,49.00,45.41,33.51,17.48,38.08
239.00,35.28,39.13,26.08,25.47,40.99,42.36,36.55,40.27,18.05,43.07
97.00,41.44,31.21,19.19,29.16,34.35,29.99,32.33,47.93,14.40,40.52
103.00,41.79,28.03,20.39,36.50,45.39,20.34,38.31,47.65,17.94,34.45
152.00,35.04,33.99,13.81,34.59,36.00,22.50,33.25,41.19,33.69,39.16
257.00,39.54,31.78,18.29,39.38,35.46,22.18,35.91,35.83,33.40,41.14
167.00,31.96,40.14,27.42,32.30,41.10,30.63,35.38,37.11,36.02,39.72
206.00,26.95,40.80,31.45,28.78,36.28,33.13,27.34,29.96,39.94,42.41
198.00,34.76,36.23,30.07,35.29,40.00,37.64,32.22,40.59,39.30,41.23
305.00,36.42,32.68,29.60,29.89,42.45,47.95,29.10,38.64,47.98,38.29
228.00,36.22,30.59,28.88,29.64,37.50,45.26,27.55,40.77,48.70,35.04
173.00,48.06,26.51,26.45,20.89,38.19,47.95,30.57,49.31,49.81,25.26
157.00,42.70,27.22,41.33,15.81,41.18,42.65,22.95,43.76,40.58,19.09
232.00,40.72,28.95,37.00,28.49,40.25,35.61,28.05,44.81,33.20,21.21
323.00,49.02,31.93,35.53,33.97,44.20,44.20,37.51,42.96,34.35,21.90
360.00,42.17,41.73,38.34,36.55,37.22,42.16,47.58,40.88,31.71,31.55
275.00,35.50,38.80,25.34,44.08,30.70,41.97,40.08,39.36,37.56,28.64
278.00,36.36,39.33,36.83,36.11,28.84,32.92,38.96,39.41,42.02,37.73
293.00,28.80,41.20,40.03,30.10,27.39,27.78,22.13,34.40,40.29,42.87
423.00,22.73,29.62,38.67,34.36,33.24,21.05,25.02,36.34,47.03,44.73
428.00,31.71,29.70,48.52,32.59,33.05,19.55,31.72,32.85,46.60,44.62
378.00,29.73,30.06,45.60,39.44,37.13,24.99,31.59,31.31,40.03,42.55
388.00,27.30,23.63,47.60,42.24,30.84,30.38,38.28,39.31,34.70,39.75
301.00,30.70,32.44,51.46,38.64,34.67,28.49,50.60,33.73,30.45,35.15
307.00,28.12,35.22,46.06,34.71,39.52,31.50,48.49,37.84,28.78,38.32
230.00,26.42,32.46,42.32,27.58,33.90,28.65,60.02,38.03,37.46,33.87
303.00,36.26,35.17,32.38,28.26,46.23,25.35,56.80,35.79,35.92,39.02
203.00,35.44,36.88,22.34,33.43,44.91,33.17,50.85,39.74,33.82,27.98
200.00,41.54,35.52,16.52,29.45,43.44,30.47,47.62,32.26,28.98,27.70
111.00,39.90,38.89,15.09,35.58,37.66,39.69,40.26,36.58,22.35,27.70
125.00,33.17,32.24,17.32,35.44,28.43,44.45,31.49,32.31,19.76,20.16
164.00,33.75,28.44,21.78,33.02,20.71,47.74,29.29,39.64,21.79,29.56
139.00,27.02,31.70,22.54,31.55,18.66,48.25,32.35,46.59,21.42,25.89
227.00,30.16,27.86,25.08,24.58,16.55,39.39,32.29,43.17,20.99,30.59
242.00,32.48,32.63,28.16,19.91,20.04,31.18,37.92,44.05,35.71,26.65
337.00,37.71,35.59,26.77,20.24,23.45,22.74,40.27,40.16,35.55,31.65
335.00,33.59,27.42,27.48,28.11,25.70,25.71,44.34,41.94,41.70,40.84
360.00,32.46,28.27,24.79,32.17,30.16,30.67,44.70,39.26,48.43,36.34
353.00,27.50,29.65,22.79,38.25,28.73,36.63,39.72,38.73,39.65,42.95
322.00,25.86,35.05,26.19,42.35,30.33,51.64,33.01,34.28,38.15,34.67
223.00,25.98,42.78,28.73,45.98,24.37,42.04,28.17,28.30,38.40,33.06
206.00,22.80,40.03,38.80,48.03,25.74,41.88,27.36,37.18,26.56,31.43
267.00,23.72,31.97,37.25,50.86,29.88,37.29,28.56,42.22,26.96,33.25
298.00,28.42,29.77,39.41,47.09,31.95,28.59,30.12,46.23,25.47,38.29
225.00,25.80,28.09,38.48,39.97,37.34,36.80,28.62,46.46,17.35,38.85
92.00,20.90,31.17,31.41,43.59,45.36,27.80,34.28,38.32,17.29,37.93
44.00,22.96,41.05,31.76,35.73,48.80,30.78,37.61,29.20,13.86,37.38
