2020-05-08T02:24:32,50.12,43.19,17.60,44.67,18.69,31.76,55.94,72.18,21.38,18.07
2020-05-08T02:26:06,21.31,33.27,46.38,27.84,39.70,30.64,31.52,11.35,49.33,48.35
2020-05-08T02:26:45,15.82,18.90,37.43,32.64,44.64,57.77,22.64,28.88,22.39,23.64
2020-05-08T02:26:54,56.83,45.69,45.30,29.67,51.54,49.99,43.79,58.91,36.59,36.07
2020-05-08T02:29:06,NA,66.72,NA,56.16,50.53,NA,33.35,30.41,44.79,34.30
2020-05-08T02:31:02,50.16,37.78,61.28,34.50,47.81,31.48,51.61,13.32,70.65,10.93
2020-05-08T02:33:08,55.74,28.74,55.15,60.80,33.14,8.30,52.69,52.27,37.27,44.71
2020-05-08T02:35:04,32.20,18.71,20.02,36.53,48.57,17.38,59.80,39.03,38.88,37.20
2020-05-08T02:36:54,NA,38.67,43.25,51.87,41.12,52.78,42.58,29.33,36.27,29.49
2020-05-08T02:38:27,41.34,42.92,16.85,3.10,46.79,44.80,11.92,20.51,35.85,34.10
2020-05-08T02:39:52,46.91,16.33,52.68,34.13,37.47,43.17,33.88,21.56,9.88,30.52
2020-05-08T02:40:31,66.49,28.00,18.12,18.53,57.14,16.64,40.92,25.63,22.25,19.25
2020-05-08T02:41:48,48.25,21.47,38.06,19.59,19.27,21.32,27.51,49.05,37.54,26.77
2020-05-08T02:42:31,21.40,6.52,30.47,6.56,51.78,43.97,29.07,43.31,40.70,10.79
2020-05-08T02:43:28,37.39,31.42,38.24,26.35,24.45,36.53,36.44,40.36,35.79,43.88
2020-05-08T02:44:08,47.64,42.61,39.68,53.31,32.86,32.17,20.06,34.06,54.44,35.47
2020-05-08T02:45:41,2.49,28.34,46.78,36.62,27.00,18.90,36.31,18.46,20.16,15.02
2020-05-08T02:47:50,27.20,35.66,39.14,38.59,17.17,43.33,38.84,7.85,47.37,33.73
2020-05-08T02:48:30,46.99,49.84,13.11,56.36,29.14,38.54,33.14,6.94,48.23,31.47
2020-05-08T02:50:18,40.94,-5.85,22.63,18.29,17.49,60.31,32.14,22.14,30.27,27.30
2020-05-08T02:50:26,32.56,41.81,22.07,32.84,24.07,29.76,37.00,29.57,63.54,40.99
2020-05-08T02:51:16,78.92,48.86,48.18,39.85,16.92,19.46,42.99,48.81,NA,26.01
2020-05-08T02:51:42,33.46,23.89,46.23,17.12,27.24,54.19,55.15,39.89,17.78,1.06
2020-05-08T02:54:00,33.89,44.51,20.22,44.21,54.28,45.84,58.79,14.50,43.81,54.33
2020-05-08T02:56:23,37.01,38.50,20.07,26.16,25.63,61.55,13.54,32.55,3.97,67.25
2020-05-08T02:57:52,49.27,28.45,37.95,25.09,NA,34.43,54.15,47.09,4.38,29.67
2020-05-08T02:57:59,20.95,45.05,NA,6.42,43.07,27.64,19.72,66.93,20.03,21.02
2020-05-08T02:58:00,58.53,12.83,-0.45,58.97,NA,-3.65,41.92,45.15,29.23,44.14
2020-05-08T02:59:35,38.42,25.79,23.67,55.53,47.72,22.96,37.44,31.44,18.12,42.99
2020-05-08T03:00:31,22.25,52.30,18.21,17.43,17.20,43.04,33.91,21.22,67.36,48.51
2020-05-08T03:02:17,38.97,36.22,31.74,25.60,41.45,26.35,30.36,45.50,18.88,28.94
2020-05-08T03:02:22,28.20,46.26,36.07,30.64,58.02,30.18,39.80,50.28,39.74,38.42
2020-05-08T03:03:57,18.39,28.40,39.79,41.44,28.45,32.95,5.30,2.85,33.79,53.79
2020-05-08T03:05:35,53.49,34.03,12.69,43.46,32.09,61.09,53.43,63.71,64.81,43.77
2020-05-08T03:07:27,45.61,22.03,29.85,4.03,51.23,67.57,17.87,37.71,53.56,17.18
2020-05-08T03:07:45,27.40,37.90,33.21,NA,38.21,19.41,33.62,58.80,42.63,25.40
2020-05-08T03:08:28,65.73,12.07,30.06,15.19,31.24,43.71,17.37,37.04,38.26,14.68
