2020-05-07T21:22:30,33.84
2020-05-07T21:22:50,79.64
2020-05-07T21:24:21,16.76
2020-05-07T21:25:59,53.22
2020-05-07T21:27:43,52.47
2020-05-07T21:28:58,45.68
2020-05-07T21:29:59,32.30
2020-05-07T21:30:59,26.51
2020-05-07T21:32:49,49.32
2020-05-07T21:35:06,25.99
2020-05-07T21:37:23,30.22
2020-05-07T21:38:11,45.09
2020-05-07T21:38:27,21.54
2020-05-07T21:38:52,52.60
2020-05-07T21:40:32,31.83
2020-05-07T21:42:04,30.36
2020-05-07T21:42:47,NA
2020-05-07T21:45:16,58.00
2020-05-07T21:45:21,33.70
2020-05-07T21:47:30,32.85
2020-05-07T21:47:55,49.75
2020-05-07T21:49:46,52.15
2020-05-07T21:50:31,58.16
2020-05-07T21:52:21,NA
2020-05-07T21:53:26,63.85
2020-05-07T21:54:36,13.11
2020-05-07T21:55:14,47.32
2020-05-07T21:55:34,12.65
2020-05-07T21:57:23,24.90
2020-05-07T21:58:25,31.48
2020-05-07T21:59:56,26.64
2020-05-07T22:00:16,39.19
2020-05-07T22:02:24,34.66
2020-05-07T22:02:34,60.11
2020-05-07T22:05:02,39.61
2020-05-07T22:05:39,46.38
2020-05-07T22:06:31,35.26
2020-05-07T22:07:48,57.93
2020-05-07T22:08:47,NA
2020-05-07T22:09:19,25.74
2020-05-07T22:11:19,47.99
2020-05-07T22:11:50,42.50
2020-05-07T22:13:27,32.98
2020-05-07T22:14:02,37.78
2020-05-07T22:14:56,41.42
2020-05-07T22:16:04,42.46
2020-05-07T22:17:34,7.21
2020-05-07T22:19:12,28.00
2020-05-07T22:19:48,40.39
2020-05-07T22:20:57,45.10
